"","state","time_partitioned","time_non_partitioned","time_difference","n","magnitude_time_difference"
"1","AK",0.0870559215545654,0.296409130096436,0.20935320854187,614,3.40481296163927
"2","AL",0.0214200019836426,0.873290061950684,0.851870059967041,2865,40.7698403864562
"3","AZ",0.0250730514526367,0.347400903701782,0.322327852249146,2287,13.8555494275608
"4","CA",0.0503959655761719,0.470238208770752,0.41984224319458,44826,9.33087010824313
"5","CO",0.0316879749298096,0.366791963577271,0.335103988647461,5474,11.5751153044564
"6","CT",0.0229549407958984,0.296596050262451,0.273641109466553,4862,12.9207935189032
"7","DC",0.0190050601959229,0.273351907730103,0.25434684753418,684,14.3831119139914
"8","DE",0.0199999809265137,1.06113719940186,1.04113721847534,1556,53.0569105691057
"9","FL",0.0373051166534424,0.813246011734009,0.775940895080566,12989,21.7998517278183
"10","GA",0.0241410732269287,1.0077919960022,0.983650922775269,3896,41.7459483482297
"11","GU",0.0220160484313965,0.337307929992676,0.315291881561279,42,15.3210023607892
"12","HI",0.0198819637298584,0.972819089889526,0.952937126159668,1066,48.9297286277896
"13","IA",0.0275318622589111,0.326163053512573,0.298631191253662,6500,11.846748703205
"14","ID",0.0210280418395996,1.04261612892151,1.02158808708191,2300,49.5821787342117
"15","IL",0.0362110137939453,0.737519025802612,0.701308012008667,20817,20.3672570450356
"16","IN",0.0340440273284912,0.323657035827637,0.289613008499146,13376,9.50701374736503
"17","KS",0.0312271118164062,0.614909887313843,0.583682775497437,9230,19.6915389078915
"18","KY",0.0273211002349854,0.984629154205322,0.957308053970337,4470,36.0391472428508
"19","MA",0.0256979465484619,0.304594993591309,0.278897047042847,7433,11.8528923319571
"20","MD",0.0254120826721191,1.00554013252258,0.980128049850464,8586,39.5693712119791
"21","ME",0.0286669731140137,0.35841703414917,0.329750061035156,1172,12.5027861408207
"22","MI",0.0457820892333984,0.997536897659302,0.951754808425903,15363,21.7888024413615
"23","MN",0.0308029651641846,0.454084157943726,0.423281192779541,7620,14.7415729467402
"24","MO",0.0381908416748047,0.574438095092773,0.536247253417969,11318,15.0412525595565
"25","MS",0.0209808349609375,0.301641941070557,0.280661106109619,2409,14.3770227272727
"26","MT",0.0941100120544434,0.396841049194336,0.302731037139893,1963,4.2167782208418
"27","NC",0.0278241634368896,0.568467140197754,0.540642976760864,7373,20.4307001533808
"28","ND",0.0195701122283936,0.323750972747803,0.304180860519409,1544,16.5431331700839
"29","NE",0.0220620632171631,0.291942119598389,0.269880056381226,4449,13.2327659804398
"30","NH",0.0208380222320557,0.908483982086182,0.887645959854126,615,43.5974187938353
"31","NJ",0.026123046875,0.333956003189087,0.307832956314087,4628,12.7839606454439
"32","NV",0.0192451477050781,0.31467604637146,0.295430898666382,1848,16.3509291377602
"33","NY",0.0308690071105957,0.998865127563477,0.967996120452881,9685,32.3581877442575
"34","OH",0.0356299877166748,0.337542057037354,0.301912069320679,20402,9.47353840594742
"35","OR",0.0205879211425781,1.11406207084656,1.09347414970398,4108,54.1124119881416
"36","PA",0.0314018726348877,0.339258909225464,0.307857036590576,18271,10.8037795442984
"37","PR",0.0193300247192383,0.289934158325195,0.270604133605957,193,14.9991612807736
"38","RI",0.0225930213928223,0.937785863876343,0.915192842483521,578,41.507766826365
"39","SC",0.0216188430786133,0.333842992782593,0.312224149703979,3761,15.4422228594115
"40","SD",0.0202391147613525,0.343880891799927,0.323641777038574,1565,16.9909057710657
"41","TN",0.0218510627746582,0.878472089767456,0.856621026992798,4075,40.2027168576105
"42","UT",0.0252339839935303,0.331840038299561,0.30660605430603,2591,13.1505210744622
"43","VA",0.0370380878448486,0.940366983413696,0.903328895568848,8306,25.3891882149225
"44","VT",0.0212569236755371,0.328797817230225,0.307540893554688,694,15.4677987393167
"45","WA",0.0304350852966309,1.02486610412598,0.994431018829346,9666,33.6738370908863
"46","WI",0.032181978225708,0.465754985809326,0.433573007583618,7870,14.4725405797853
"47","WV",0.0277330875396729,0.892176151275635,0.864443063735962,3502,32.1700982625665
"48","WY",0.0196008682250977,0.317394018173218,0.29779314994812,1077,16.1928550576558
