"","state","time_partitioned","time_non_partitioned","time_difference","n","magnitude_time_difference"
"1","AK",0.018996000289917,1.05150985717773,1.03251385688782,614,55.354276749294
"2","AL",0.0289170742034912,0.355248928070068,0.326331853866577,2865,12.2850923841797
"3","AZ",0.0213799476623535,1.09754300117493,1.07616305351257,2287,51.3351584628766
"4","CA",0.0531949996948242,0.824399948120117,0.771204948425293,44826,15.4976962656197
"5","CO",0.0294110774993896,0.894551038742065,0.865139961242676,5474,30.4154459747566
"6","CT",0.023125171661377,0.356174945831299,0.333049774169922,4862,15.4020454873497
"7","DC",0.0184919834136963,1.05596089363098,1.03746891021729,684,57.1037119170717
"8","DE",0.0222020149230957,0.33076810836792,0.308566093444824,1556,14.8981121539486
"9","FL",0.0345380306243896,0.920505046844482,0.885967016220093,12989,26.6519263027826
"10","GA",0.0258719921112061,0.337435007095337,0.311563014984131,3896,13.0424826060913
"11","GU",0.0948479175567627,1.02056097984314,0.925713062286377,42,10.7599724499209
"12","HI",0.0196750164031982,0.28066611289978,0.260991096496582,1066,14.2651018503932
"13","IA",0.0273349285125732,0.789769887924194,0.762434959411621,6500,28.8923341270464
"14","ID",0.0204148292541504,0.784487962722778,0.764073133468628,2300,38.4273585126013
"15","IL",0.040539026260376,0.35283088684082,0.312291860580444,20817,8.70348697017638
"16","IN",0.0309770107269287,0.691963911056519,0.66098690032959,13376,22.3379820976394
"17","KS",0.0329020023345947,0.303309917449951,0.270407915115356,9230,9.21858537256976
"18","KY",0.026785135269165,0.717303991317749,0.690518856048584,4470,26.7799279006631
"19","MA",0.0963408946990967,0.311620950698853,0.215280055999756,7433,3.23456567091414
"20","MD",0.0282411575317383,0.99463677406311,0.966395616531372,8586,35.2194053287408
"21","ME",0.0236668586730957,0.347223997116089,0.323557138442993,1172,14.6713174702315
"22","MI",0.03672194480896,0.929894924163818,0.893172979354858,15363,25.3225946774183
"23","MN",0.0299038887023926,0.32219409942627,0.292290210723877,7620,10.7743211136447
"24","MO",0.0382399559020996,0.511803150177002,0.473563194274902,11318,13.3839890267473
"25","MS",0.0267751216888428,0.572125911712646,0.545350790023804,2409,21.3678174225088
"26","MT",0.0209848880767822,0.489757061004639,0.468772172927856,1963,23.3385595964416
"27","NC",0.0273239612579346,0.563338041305542,0.536014080047607,7373,20.6169975131975
"28","ND",0.0209529399871826,0.363852977752686,0.342900037765503,1544,17.3652469760932
"29","NE",0.0251240730285645,0.321671009063721,0.296546936035156,4449,12.8032986012261
"30","NH",0.0177888870239258,0.534018039703369,0.516229152679443,615,30.0197555353026
"31","NJ",0.0230140686035156,0.966309070587158,0.943295001983643,4628,41.9877548483342
"32","NV",0.0234150886535645,0.672734975814819,0.649319887161255,1848,28.7308318908461
"33","NY",0.0339260101318359,0.326649188995361,0.292723178863525,9685,9.6282818912689
"34","OH",0.0355579853057861,0.617647171020508,0.582089185714722,20402,17.3701396664901
"35","OR",0.0252139568328857,0.874816179275513,0.849602222442627,4108,34.6957117866768
"36","PA",0.0380191802978516,0.880398035049438,0.842378854751587,18271,23.1566811317915
"37","PR",0.0227680206298828,0.323055028915405,0.300287008285522,193,14.188981737455
"38","RI",0.0185050964355469,0.988812923431396,0.97030782699585,578,53.4346268810555
"39","SC",0.0208170413970947,0.336623907089233,0.315806865692139,3761,16.1705931533678
"40","SD",0.0274629592895508,0.36699104309082,0.33952808380127,1565,13.3631281036219
"41","TN",0.0220940113067627,1.01303696632385,0.99094295501709,4075,45.8512015884492
"42","UT",0.0218648910522461,0.435145854949951,0.413280963897705,2591,19.9015789244123
"43","VA",0.0321969985961914,0.768764019012451,0.73656702041626,8306,23.8768845709547
"44","VT",0.0937998294830322,0.313780069351196,0.219980239868164,694,3.34520937917011
"45","WA",0.0330791473388672,1.02535700798035,0.992277860641479,9666,30.9970809548521
"46","WI",0.0334999561309814,0.329954862594604,0.296454906463623,7870,9.84941178145172
"47","WV",0.0252940654754639,0.733083963394165,0.707789897918701,3502,28.9824490296067
"48","WY",0.0189058780670166,0.310014963150024,0.291109085083008,1077,16.3978082399082
