"","state","time_partitioned","time_non_partitioned","time_difference","n","magnitude_time_difference"
"1","AK",0.0189352035522461,0.999961137771606,0.98102593421936,614,52.8096323344246
"2","AL",0.0243499279022217,0.781956911087036,0.757606983184814,2865,32.1133152519803
"3","AZ",0.0207488536834717,0.35648512840271,0.335736274719238,2287,17.1809553357004
"4","CA",0.0529739856719971,0.462569952011108,0.409595966339111,44826,8.7320209371301
"5","CO",0.106145143508911,0.489753007888794,0.383607864379883,5474,4.61399355353152
"6","CT",0.0243091583251953,0.911752939224243,0.887443780899048,4862,37.5065613966261
"7","DC",0.0199558734893799,0.436879873275757,0.416923999786377,684,21.8922951936058
"8","DE",0.020514965057373,1.01520919799805,0.994694232940674,1556,49.4862747832555
"9","FL",0.0353341102600098,0.78286600112915,0.747531890869141,12989,22.1560977584648
"10","GA",0.0236690044403076,0.323739051818848,0.30007004737854,3896,13.6777637874591
"11","GU",0.0218989849090576,0.285304069519043,0.263405084609985,42,13.0281869549597
"12","HI",0.0202291011810303,0.298700094223022,0.278470993041992,1066,14.7658609025658
"13","IA",0.0259368419647217,0.672751903533936,0.646815061569214,6500,25.9380808368647
"14","ID",0.0216069221496582,0.932930946350098,0.911324024200439,2300,43.1774104561605
"15","IL",0.0402939319610596,0.328762054443359,0.2884681224823,20817,8.15909588473714
"16","IN",0.0353498458862305,0.718408107757568,0.683058261871338,13376,20.3228073488548
"17","KS",0.038377046585083,0.317852020263672,0.279474973678589,9230,8.28234709408878
"18","KY",0.0290460586547852,0.702656030654907,0.673609972000122,4470,24.1910972846965
"19","MA",0.0275449752807617,0.312654972076416,0.285109996795654,7433,11.3507080289444
"20","MD",0.0277369022369385,0.977035045623779,0.949298143386841,8586,35.2250960571443
"21","ME",0.0199880599975586,0.309656858444214,0.289668798446655,1172,15.4920917028484
"22","MI",0.0406908988952637,0.921592950820923,0.880902051925659,15363,22.6486260033984
"23","MN",0.0299501419067383,0.319628000259399,0.289677858352661,7620,10.6720028657857
"24","MO",0.0377480983734131,0.425405025482178,0.387656927108765,11318,11.2695749935261
"25","MS",0.0231759548187256,0.790124893188477,0.766948938369751,2409,34.0924419023321
"26","MT",0.0199618339538574,0.317797899246216,0.297836065292358,1963,15.920275661085
"27","NC",0.0297019481658936,0.632220029830933,0.602518081665039,7373,21.2854734746627
"28","ND",0.0218639373779297,0.306643009185791,0.284779071807861,1544,14.0250588851086
"29","NE",0.0220329761505127,0.324128150939941,0.302095174789429,4449,14.7110471470464
"30","NH",0.0943989753723145,0.284891128540039,0.190492153167725,615,3.01794725436811
"31","NJ",0.0244719982147217,0.990875959396362,0.966403961181641,4628,40.4901941681362
"32","NV",0.024371862411499,0.332947015762329,0.30857515335083,1848,13.6611232305841
"33","NY",0.0327949523925781,0.947918891906738,0.91512393951416,9685,28.9044143305804
"34","OH",0.0342340469360352,0.512825012207031,0.478590965270996,20402,14.97997047107
"35","OR",0.0209200382232666,0.887532949447632,0.866612911224365,4108,42.4250156704086
"36","PA",0.0332660675048828,0.329135179519653,0.295869112014771,18271,9.89402127171607
"37","PR",0.018373966217041,0.289035081863403,0.270661115646362,193,15.7306853865518
"38","RI",0.0183608531951904,0.290876865386963,0.272516012191772,578,15.842230330732
"39","SC",0.0234389305114746,0.523494958877563,0.500056028366089,3761,22.3344217271895
"40","SD",0.0213720798492432,0.365197896957397,0.343825817108154,1565,17.0876161577849
"41","TN",0.0274450778961182,0.495689153671265,0.468244075775146,4075,18.0611312362635
"42","UT",0.023874044418335,0.361171960830688,0.337297916412354,2591,15.1282268936935
"43","VA",0.0320899486541748,0.796197891235352,0.764107942581177,8306,24.8114417326052
"44","VT",0.019258975982666,0.308866024017334,0.289607048034668,694,16.0375102131769
"45","WA",0.0318999290466309,0.993823051452637,0.961923122406006,9666,31.1543969267104
"46","WI",0.0312271118164062,0.320033073425293,0.288805961608887,7870,10.2485646225263
"47","WV",0.029088020324707,0.765043020248413,0.735954999923706,3502,26.3009655421134
"48","WY",0.0193729400634766,0.338099956512451,0.318727016448975,1077,17.4521758393226
