"","state","time_partitioned","time_non_partitioned","time_difference","n","magnitude_time_difference"
"1","AK",0.0180790424346924,1.01391005516052,0.99583101272583,614,56.0820662279603
"2","AL",0.0209739208221436,0.781802177429199,0.760828256607056,2865,37.2749656136681
"3","AZ",0.0275111198425293,0.392476081848145,0.364964962005615,2287,14.2660889158506
"4","CA",0.0530328750610352,0.364943981170654,0.311911106109619,44826,6.88146702871837
"5","CO",0.0352671146392822,0.284591913223267,0.249324798583984,5474,8.06961148180448
"6","CT",0.0239160060882568,0.963365077972412,0.939449071884155,4862,40.2811855130544
"7","DC",0.0220868587493896,0.725860834121704,0.703773975372314,684,32.8639234015911
"8","DE",0.0206940174102783,0.33785080909729,0.317156791687012,1556,16.3260135718976
"9","FL",0.0340549945831299,0.86859917640686,0.83454418182373,12989,25.5057793148834
"10","GA",0.0242950916290283,0.32362699508667,0.299331903457642,3896,13.3206739874977
"11","GU",0.0185589790344238,1.04026484489441,1.02170586585999,42,56.0518357698929
"12","HI",0.0186560153961182,0.345836877822876,0.327180862426758,1066,18.537553195568
"13","IA",0.0269789695739746,0.676381826400757,0.649402856826782,6500,25.0707064458545
"14","ID",0.0215840339660645,0.865833044052124,0.84424901008606,2300,40.1145145255716
"15","IL",0.0368809700012207,0.331775903701782,0.294894933700562,20817,8.9958562285862
"16","IN",0.0311770439147949,0.709502220153809,0.678325176239014,13376,22.7571998837618
"17","KS",0.0350949764251709,0.336555004119873,0.301460027694702,9230,9.58983417006909
"18","KY",0.0286228656768799,0.867614030838013,0.838991165161133,4470,30.3119205684156
"19","MA",0.102790832519531,0.903797149658203,0.801006317138672,7433,8.79258517034068
"20","MD",0.0258548259735107,0.791552066802979,0.765697240829468,8586,30.6152540966222
"21","ME",0.0192780494689941,0.34978199005127,0.330503940582275,1172,18.1440550100176
"22","MI",0.0374879837036133,1.05198693275452,1.0144989490509,15363,28.0619769009642
"23","MN",0.0293910503387451,0.726338863372803,0.696947813034058,7620,24.7129263841006
"24","MO",0.0365579128265381,0.450499057769775,0.413941144943237,11318,12.3228877946979
"25","MS",0.019618034362793,0.577826976776123,0.55820894241333,2409,29.4538670944534
"26","MT",0.0237109661102295,0.311238050460815,0.287527084350586,1963,13.1263335713065
"27","NC",0.103733062744141,0.612244844436646,0.508511781692505,7373,5.90211865185893
"28","ND",0.0262410640716553,0.880722045898438,0.854480981826782,1544,33.5627413390513
"29","NE",0.0209081172943115,0.324639081954956,0.303730964660645,4449,15.5269399623696
"30","NH",0.0177021026611328,0.291192054748535,0.273489952087402,615,16.4495743993104
"31","NJ",0.0239272117614746,1.03654599189758,1.01261878013611,4628,43.3208015305207
"32","NV",0.0197980403900146,0.354872941970825,0.335074901580811,1848,17.9246498633172
"33","NY",0.031390905380249,1.00957894325256,0.978188037872314,9685,32.1615108268838
"34","OH",0.0380411148071289,0.331643104553223,0.293601989746094,20402,8.7180174985585
"35","OR",0.0283329486846924,1.06424903869629,1.0359160900116,4108,37.5622407162752
"36","PA",0.0315210819244385,0.921704053878784,0.890182971954346,18271,29.2408761884592
"37","PR",0.025982141494751,0.317655086517334,0.291672945022583,193,12.225900878167
"38","RI",0.0228209495544434,0.912826061248779,0.890005111694336,578,39.9994776322113
"39","SC",0.0236139297485352,0.319291114807129,0.295677185058594,3761,13.5213036630185
"40","SD",0.0281999111175537,0.375666856765747,0.347466945648193,1565,13.3215617311611
"41","TN",0.021489143371582,0.522166967391968,0.500677824020386,4075,24.2991057560023
"42","UT",0.0332739353179932,0.321741104125977,0.288467168807983,2591,9.66946353207558
"43","VA",0.0315251350402832,0.807965040206909,0.776439905166626,8306,25.6292332824104
"44","VT",0.0226800441741943,0.86826491355896,0.845584869384766,694,38.2832108654746
"45","WA",0.036545991897583,0.333012104034424,0.296466112136841,9666,9.11213752161007
"46","WI",0.0310299396514893,0.496529102325439,0.46549916267395,7870,16.0016135352557
"47","WV",0.0213689804077148,0.312722206115723,0.291353225708008,3502,14.6343999642969
"48","WY",0.0214681625366211,0.295383930206299,0.273915767669678,1077,13.7591621873751
