"","state","time_partitioned","time_non_partitioned","time_difference","n","magnitude_time_difference"
"1","AK",0.0190150737762451,1.10716104507446,1.08814597129822,614,58.2254404112595
"2","AL",0.0218191146850586,0.350514888763428,0.328695774078369,2865,16.0645788714542
"3","AZ",0.020719051361084,0.425112009048462,0.404392957687378,2287,20.5179282410071
"4","CA",0.0515689849853516,0.43120002746582,0.379631042480469,44826,8.36161556385694
"5","CO",0.0347049236297607,0.516871929168701,0.48216700553894,5474,14.8933314097676
"6","CT",0.027338981628418,0.974297046661377,0.946958065032959,4862,35.6376495622144
"7","DC",0.0184428691864014,0.33381986618042,0.315376996994019,684,18.1002133023075
"8","DE",0.0191550254821777,1.05599188804626,1.03683686256409,1556,55.1287122551094
"9","FL",0.0378999710083008,0.408500909805298,0.370600938796997,12989,10.7783963664729
"10","GA",0.0234777927398682,0.764060020446777,0.740582227706909,3896,32.5439460562794
"11","GU",0.0177409648895264,0.332010984420776,0.31427001953125,42,18.7143701872035
"12","HI",0.0188689231872559,0.916649103164673,0.897780179977417,1066,48.5798311895075
"13","IA",0.0259671211242676,0.329714059829712,0.303746938705444,6500,12.6973667297134
"14","ID",0.0201320648193359,1.0443229675293,1.02419090270996,2300,51.8736144007579
"15","IL",0.0363240242004395,0.796617031097412,0.760293006896973,20817,21.9308583955787
"16","IN",0.0318920612335205,0.334984064102173,0.303092002868652,13376,10.5036818300751
"17","KS",0.10944390296936,0.583076953887939,0.473633050918579,9230,5.32763304367148
"18","KY",0.0292820930480957,0.603528022766113,0.574245929718018,4470,20.610822517872
"19","MA",0.0255320072174072,0.799950838088989,0.774418830871582,7433,31.3312945307174
"20","MD",0.0236659049987793,0.327744960784912,0.304079055786133,8586,13.8488243235075
"21","ME",0.01863694190979,1.03347516059875,1.01483821868896,1172,55.4530440455935
"22","MI",0.0416738986968994,0.454684972763062,0.413011074066162,15363,10.9105456168153
"23","MN",0.0294568538665771,0.757158041000366,0.727701187133789,7620,25.7039684017127
"24","MO",0.0360009670257568,0.322809934616089,0.286808967590332,11318,8.96670176623686
"25","MS",0.0204789638519287,1.05299997329712,1.03252100944519,2409,51.41861575179
"26","MT",0.0249841213226318,0.381422996520996,0.356438875198364,1963,15.2666164078976
"27","NC",0.0329639911651611,0.310545921325684,0.277581930160522,7373,9.4207621816709
"28","ND",0.0189211368560791,0.357986927032471,0.339065790176392,1544,18.9199480853316
"29","NE",0.0223681926727295,0.328537940979004,0.306169748306274,4449,14.6877284984918
"30","NH",0.0187051296234131,0.903680801391602,0.884975671768188,615,48.3119240328851
"31","NJ",0.0223021507263184,0.810123920440674,0.787821769714355,4628,36.3249235637468
"32","NV",0.0203900337219238,0.355414152145386,0.335024118423462,1848,17.4307780454152
"33","NY",0.0308849811553955,1.02536988258362,0.994484901428223,9685,33.1996279170301
"34","OH",0.0403680801391602,0.379136085510254,0.338768005371094,20402,9.3919771315174
"35","OR",0.0235340595245361,1.02910685539246,1.00557279586792,4108,43.7284036916593
"36","PA",0.0375101566314697,0.708577156066895,0.671066999435425,18271,18.8902745202728
"37","PR",0.0178999900817871,0.69891619682312,0.681016206741333,193,39.0456192226751
"38","RI",0.0258121490478516,0.336144208908081,0.310332059860229,578,13.0227129978571
"39","SC",0.0213449001312256,0.481426954269409,0.460082054138184,3761,22.5546594881991
"40","SD",0.0241830348968506,0.501055002212524,0.476871967315674,1565,20.7192771440684
"41","TN",0.0299298763275146,0.510293960571289,0.480364084243774,4075,17.0496514916159
"42","UT",0.0902099609375,0.867187023162842,0.776977062225342,2591,9.61298524188092
"43","VA",0.0329170227050781,0.68135404586792,0.648437023162842,8306,20.6991395294936
"44","VT",0.02134108543396,0.360154867172241,0.338813781738281,694,16.8761269564635
"45","WA",0.0316510200500488,0.984832048416138,0.953181028366089,9666,31.1153336245989
"46","WI",0.0310380458831787,0.36965799331665,0.338619947433472,7870,11.9098346174232
"47","WV",0.024467945098877,0.708208084106445,0.683740139007568,3502,28.9443221016117
"48","WY",0.018312931060791,0.738807916641235,0.720494985580444,1077,40.3435099596407
