"","state","time_partitioned","time_non_partitioned","time_difference","n","magnitude_time_difference"
"1","AK",0.0214748382568359,1.01953911781311,0.998064279556274,614,47.4759858779643
"2","AL",0.0199410915374756,0.383883953094482,0.363942861557007,2865,19.2508996999008
"3","AZ",0.0199282169342041,0.425781011581421,0.405852794647217,2287,21.3657354788539
"4","CA",0.0658009052276611,0.467504024505615,0.401703119277954,44826,7.10482664164152
"5","CO",0.0299570560455322,0.473229885101318,0.443272829055786,5474,15.7969422757045
"6","CT",0.0234129428863525,0.303115129470825,0.279702186584473,4862,12.9464771234509
"7","DC",0.0178818702697754,0.287636041641235,0.26975417137146,684,16.0853443908162
"8","DE",0.023169994354248,0.992758989334106,0.969588994979858,1556,42.846751456031
"9","FL",0.0327961444854736,0.46403694152832,0.431240797042847,12989,14.1491309057336
"10","GA",0.0254321098327637,0.748454809188843,0.723022699356079,3896,29.4295209524702
"11","GU",0.0196928977966309,0.802979946136475,0.783287048339844,42,40.7751035134023
"12","HI",0.0201849937438965,0.438512802124023,0.418327808380127,1066,21.7246934870426
"13","IA",0.0283279418945312,0.619080066680908,0.590752124786377,6500,21.8540432265015
"14","ID",0.0302510261535645,0.33472204208374,0.304471015930176,2300,11.0648161283712
"15","IL",0.0386149883270264,0.959719896316528,0.921104907989502,20817,24.8535591462248
"16","IN",0.0335171222686768,0.336814880371094,0.303297758102417,13376,10.0490393438658
"17","KS",0.0338480472564697,0.696258068084717,0.662410020828247,9230,20.5701103762089
"18","KY",0.105723857879639,0.323187112808228,0.217463254928589,4470,3.05689859687262
"19","MA",0.0274112224578857,1.00689601898193,0.979484796524048,7433,36.7329848396552
"20","MD",0.0231921672821045,0.324126958847046,0.300934791564941,8586,13.9757080442046
"21","ME",0.0185470581054688,0.978354930877686,0.959807872772217,1172,52.7498714520773
"22","MI",0.0399510860443115,0.449417114257812,0.409466028213501,15363,11.2491839085261
"23","MN",0.0365059375762939,0.732997179031372,0.696491241455078,7620,20.0788482010489
"24","MO",0.0344409942626953,0.31151008605957,0.277069091796875,11318,9.04474718945561
"25","MS",0.0201389789581299,0.662621974945068,0.642482995986938,2409,32.9024612579763
"26","MT",0.0207898616790771,0.361686944961548,0.340897083282471,1963,17.3972751981101
"27","NC",0.0343191623687744,0.99946403503418,0.965144872665405,7373,29.1226232241481
"28","ND",0.0232059955596924,0.330213069915771,0.307007074356079,1544,14.2296446220706
"29","NE",0.0282669067382812,0.28889799118042,0.260631084442139,4449,10.2203609986505
"30","NH",0.0178210735321045,0.286379098892212,0.268558025360107,615,16.0696884155886
"31","NJ",0.0254969596862793,1.01907896995544,0.993582010269165,4628,39.9686465560771
"32","NV",0.0200409889221191,0.336462020874023,0.316421031951904,1848,16.7886935211402
"33","NY",0.0305709838867188,0.98884391784668,0.958272933959961,9685,32.3458322934864
"34","OH",0.0389299392700195,0.331066131591797,0.292136192321777,20402,8.50415227456456
"35","OR",0.0210211277008057,1.08936810493469,1.06834697723389,4108,51.8225339972099
"36","PA",0.0350940227508545,0.340061902999878,0.304967880249023,18271,9.69002343829614
"37","PR",0.017219066619873,1.02717399597168,1.00995492935181,193,59.6532912408961
"38","RI",0.0181849002838135,0.768790006637573,0.75060510635376,578,42.2762838750279
"39","SC",0.0244588851928711,0.754177808761597,0.729718923568726,3761,30.8345128085156
"40","SD",0.0203220844268799,0.311796903610229,0.29147481918335,1565,15.3427619461032
"41","TN",0.0262699127197266,0.506123065948486,0.47985315322876,4075,19.2662637043491
"42","UT",0.0208179950714111,0.470854043960571,0.45003604888916,2591,22.6176460483067
"43","VA",0.0977320671081543,0.778470039367676,0.680737972259521,8306,7.96534916739445
"44","VT",0.0187249183654785,0.343961954116821,0.325237035751343,694,18.3692098092643
"45","WA",0.031048059463501,0.962432861328125,0.931384801864624,9666,30.9981647149165
"46","WI",0.0329198837280273,0.334443092346191,0.301523208618164,7870,10.1593035719459
"47","WV",0.0244810581207275,0.783882141113281,0.759401082992554,3502,32.0199452673815
"48","WY",0.0180230140686035,0.309463977813721,0.291440963745117,1077,17.1704897214065
