"","state","time_partitioned","time_non_partitioned","time_difference","n","magnitude_time_difference"
"1","AK",0.0186059474945068,0.929569005966187,0.91096305847168,614,49.9608529068799
"2","AL",0.0212361812591553,0.817456960678101,0.796220779418945,2865,38.4935949972494
"3","AZ",0.101471185684204,0.318024873733521,0.216553688049316,2287,3.13413972241607
"4","CA",0.0547580718994141,1.07017087936401,1.0154128074646,44826,19.5436187258351
"5","CO",0.032041072845459,0.483726978302002,0.451685905456543,5474,15.0970905573331
"6","CT",0.0261678695678711,0.298528909683228,0.272361040115356,4862,11.4082236961988
"7","DC",0.0189499855041504,0.285966873168945,0.267016887664795,684,15.0906117108276
"8","DE",0.0239279270172119,1.22056484222412,1.19663691520691,1556,51.0100537061209
"9","FL",0.0337140560150146,0.725816011428833,0.692101955413818,12989,21.5285876936785
"10","GA",0.024043083190918,0.299490928649902,0.275447845458984,3896,12.4564277497918
"11","GU",0.0923750400543213,0.29245400428772,0.200078964233398,42,3.16594184008734
"12","HI",0.0189080238342285,0.977864980697632,0.958956956863403,1066,51.7169318840945
"13","IA",0.0302891731262207,0.782042026519775,0.751752853393555,6500,25.8191936524929
"14","ID",0.0207300186157227,0.798691987991333,0.77796196937561,2300,38.5282812715646
"15","IL",0.0366339683532715,0.807583093643188,0.770949125289917,20817,22.0446522706861
"16","IN",0.03804612159729,0.324682950973511,0.286636829376221,13376,8.53393032830546
"17","KS",0.0330350399017334,1.04387903213501,1.01084399223328,9230,31.5991454903687
"18","KY",0.0299081802368164,0.312550067901611,0.282641887664795,4470,10.45032046172
"19","MA",0.0951159000396729,1.01389408111572,0.91877818107605,7433,10.6595646016368
"20","MD",0.0250921249389648,0.281023979187012,0.255931854248047,8586,11.1996883432785
"21","ME",0.0223639011383057,0.320241928100586,0.29787802696228,1172,14.3195914755706
"22","MI",0.0370211601257324,1.04979205131531,1.01277089118958,15363,28.3565411713185
"23","MN",0.0329980850219727,0.31178092956543,0.278782844543457,7620,9.44845524695818
"24","MO",0.0353929996490479,0.458684921264648,0.423291921615601,11318,12.9597639593396
"25","MS",0.0210330486297607,0.60383415222168,0.582801103591919,2409,28.7088268967003
"26","MT",0.0190651416778564,0.307700872421265,0.288635730743408,1963,16.1394485087226
"27","NC",0.0306081771850586,0.632982015609741,0.602373838424683,7373,20.680160461131
"28","ND",0.0183229446411133,1.40113496780396,1.38281202316284,1544,76.4688752407224
"29","NE",0.0216820240020752,0.765277862548828,0.743595838546753,4449,35.2954992797528
"30","NH",0.0186748504638672,0.314475059509277,0.29580020904541,615,16.8394954550097
"31","NJ",0.0240318775177002,1.01652002334595,0.992488145828247,4628,42.2988184172148
"32","NV",0.0232698917388916,0.326143026351929,0.302873134613037,1848,14.0156658230961
"33","NY",0.0325460433959961,1.00840902328491,0.975862979888916,9685,30.9840741934539
"34","OH",0.035463809967041,0.564476013183594,0.529012203216553,20402,15.9169591115055
"35","OR",0.0228550434112549,0.898097991943359,0.875242948532104,4108,39.2953964594569
"36","PA",0.0315868854522705,0.853185176849365,0.821598291397095,18271,27.0107408385855
"37","PR",0.0200870037078857,0.297549962997437,0.277462959289551,193,14.813058598711
"38","RI",0.0174179077148438,0.901066064834595,0.883648157119751,578,51.7321643670609
"39","SC",0.0219659805297852,0.795469999313354,0.773504018783569,3761,36.2137259584075
"40","SD",0.0205700397491455,0.320486068725586,0.29991602897644,1565,15.5802357522862
"41","TN",0.0217320919036865,1.07178807258606,1.05005598068237,4075,49.3182192186591
"42","UT",0.0230889320373535,0.31800103187561,0.294912099838257,2591,13.772877470519
"43","VA",0.032973051071167,0.860430002212524,0.827456951141357,8306,26.0949464565904
"44","VT",0.0877871513366699,0.316787004470825,0.228999853134155,694,3.60858052285949
"45","WA",0.0290789604187012,1.06363582611084,1.03455686569214,9666,36.577505206369
"46","WI",0.0319688320159912,0.34637188911438,0.314403057098389,7870,10.8346745023753
"47","WV",0.0243871212005615,0.672320127487183,0.647933006286621,3502,27.5686548632769
"48","WY",0.0225551128387451,0.301738977432251,0.279183864593506,1077,13.377852710802
