"","state","time_partitioned","time_non_partitioned","time_difference","n","magnitude_time_difference"
"1","AK",0.0197691917419434,0.916466951370239,0.896697759628296,614,46.3583419764104
"2","AL",0.0210897922515869,0.701750993728638,0.680661201477051,2865,33.2744384277106
"3","AZ",0.0328459739685059,0.360191106796265,0.327345132827759,2287,10.9660656475473
"4","CA",0.124314785003662,0.423467874526978,0.299153089523315,44826,3.40641601491329
"5","CO",0.0305988788604736,1.06838417053223,1.03778529167175,5474,34.9157946408396
"6","CT",0.0223698616027832,0.899928092956543,0.87755823135376,4862,40.2294886278857
"7","DC",0.0214500427246094,0.354115962982178,0.332665920257568,684,16.5088698203806
"8","DE",0.0232820510864258,1.12979388237,1.10651183128357,1556,48.5263896284766
"9","FL",0.0383028984069824,0.342959880828857,0.304656982421875,12989,8.95388848083459
"10","GA",0.0261819362640381,0.781706094741821,0.755524158477783,3896,29.8566953512726
"11","GU",0.0176990032196045,0.340679168701172,0.322980165481567,42,19.2484946453829
"12","HI",0.0190482139587402,0.975904941558838,0.956856727600098,1066,51.2334092672791
"13","IA",0.0285758972167969,0.35685920715332,0.328283309936523,6500,12.4881190762248
"14","ID",0.0231878757476807,0.770824909210205,0.747637033462524,2300,33.2425840813515
"15","IL",0.0387890338897705,0.322627782821655,0.283838748931885,20817,8.31749983096999
"16","IN",0.0334479808807373,0.745407104492188,0.71195912361145,13376,22.2855635785617
"17","KS",0.0381979942321777,0.31122088432312,0.273022890090942,9230,8.14757137328823
"18","KY",0.0270459651947021,0.85007905960083,0.823033094406128,4470,31.4309011891854
"19","MA",0.0266890525817871,0.319229125976562,0.292540073394775,7433,11.9610512586875
"20","MD",0.0243899822235107,1.00761008262634,0.983220100402832,8586,41.3124566222544
"21","ME",0.0220198631286621,0.761542081832886,0.739522218704224,1172,34.5843240433964
"22","MI",0.0391709804534912,0.779918909072876,0.740747928619385,15363,19.9106302687239
"23","MN",0.0334880352020264,0.645953893661499,0.612465858459473,7620,19.2890950384098
"24","MO",0.0383720397949219,0.316925048828125,0.278553009033203,11318,8.25927030519932
"25","MS",0.0237047672271729,0.622302055358887,0.598597288131714,2409,26.252190093035
"26","MT",0.027271032333374,0.323559999465942,0.296288967132568,1963,11.86460400584
"27","NC",0.0292630195617676,0.647268056869507,0.618005037307739,7373,22.1189770079356
"28","ND",0.0232470035552979,0.334307909011841,0.311060905456543,1544,14.3806881698374
"29","NE",0.100152969360352,0.582491159439087,0.482338190078735,4449,5.81601487364071
"30","NH",0.0203211307525635,0.292399883270264,0.2720787525177,615,14.3889573287342
"31","NJ",0.026465892791748,0.319856882095337,0.293390989303589,4628,12.0856260021981
"32","NV",0.0271651744842529,0.29759407043457,0.270428895950317,1848,10.9549846847875
"33","NY",0.0334739685058594,0.964331865310669,0.93085789680481,9685,28.8084116809117
"34","OH",0.03867506980896,0.599812984466553,0.561137914657593,20402,15.5090343063219
"35","OR",0.0233008861541748,0.308915853500366,0.285614967346191,4108,13.2576869161269
"36","PA",0.0347199440002441,0.977908849716187,0.943188905715942,18271,28.1656228970101
"37","PR",0.0197310447692871,0.324898958206177,0.30516791343689,193,16.466383914546
"38","RI",0.0180590152740479,0.969799995422363,0.951740980148315,578,53.7017096838075
"39","SC",0.0221309661865234,0.319494009017944,0.297363042831421,3761,14.4365142635525
"40","SD",0.0239899158477783,0.350852966308594,0.326863050460815,1565,14.6250186342811
"41","TN",0.0233089923858643,0.474318027496338,0.451009035110474,4075,20.349143353961
"42","UT",0.0250720977783203,0.309841871261597,0.284769773483276,2591,12.3580353746672
"43","VA",0.0324399471282959,0.804472923278809,0.772032976150513,8306,24.7988358334007
"44","VT",0.0208590030670166,0.322164058685303,0.301305055618286,694,15.4448444947365
"45","WA",0.0313029289245605,1.00965785980225,0.978354930877686,9666,32.2544213749295
"46","WI",0.032390832901001,0.356031894683838,0.323641061782837,7870,10.9917486769176
"47","WV",0.0229809284210205,0.309853076934814,0.286872148513794,3502,13.483053045472
"48","WY",0.0183191299438477,0.346905946731567,0.32858681678772,1077,18.9368134728513
