"","state","time_partitioned","time_non_partitioned","time_difference","n","magnitude_time_difference"
"1","AK",0.0192270278930664,0.290869951248169,0.271642923355103,614,15.1281806458013
"2","AL",0.0239639282226562,0.930779933929443,0.906816005706787,2865,38.8408747214263
"3","AZ",0.0207710266113281,0.309758901596069,0.288987874984741,2287,14.9130280073462
"4","CA",0.062263011932373,0.475769996643066,0.413506984710693,44826,7.6412942753207
"5","CO",0.0309851169586182,0.562161922454834,0.531176805496216,5474,18.1429659667131
"6","CT",0.0230221748352051,0.885443925857544,0.862421751022339,4862,38.4604813487707
"7","DC",0.0197429656982422,0.314319133758545,0.294576168060303,684,15.9205632306057
"8","DE",0.0194230079650879,1.05280900001526,1.03338599205017,1556,54.2042201654678
"9","FL",0.0336320400238037,0.338129997253418,0.304497957229614,12989,10.0538057463686
"10","GA",0.0253539085388184,0.799602031707764,0.774248123168945,3896,31.5376238927235
"11","GU",0.0211071968078613,0.316404819488525,0.295297622680664,42,14.9903761436801
"12","HI",0.0237700939178467,0.267921924591064,0.244151830673218,1066,11.2713868744922
"13","IA",0.0873920917510986,0.690638065338135,0.603245973587036,6500,7.90275242873395
"14","ID",0.0246379375457764,0.285813808441162,0.261175870895386,2300,11.6005573887884
"15","IL",0.0384078025817871,0.94999098777771,0.911583185195923,20817,24.7343228177337
"16","IN",0.0333878993988037,0.545645952224731,0.512258052825928,13376,16.3426259827619
"17","KS",0.035581111907959,0.313821077346802,0.278239965438843,9230,8.81987831517442
"18","KY",0.0297060012817383,0.823633909225464,0.793927907943726,4470,27.7261790105621
"19","MA",0.0301628112792969,0.308738946914673,0.278576135635376,7433,10.2357483875047
"20","MD",0.0235090255737305,0.982927083969116,0.959418058395386,8586,41.8106263437589
"21","ME",0.0880048274993896,0.327459096908569,0.23945426940918,1172,3.72092197909075
"22","MI",0.0374948978424072,0.890113830566406,0.852618932723999,15363,23.7395987664134
"23","MN",0.0311110019683838,0.848020076751709,0.816909074783325,7620,27.2578838062978
"24","MO",0.0364129543304443,0.422158002853394,0.385745048522949,11318,11.5936212981333
"25","MS",0.0219171047210693,0.662770986557007,0.640853881835938,2409,30.2398968746941
"26","MT",0.0249090194702148,0.901344060897827,0.876435041427612,1963,36.185449289789
"27","NC",0.033048152923584,0.787042140960693,0.753993988037109,7373,23.8150114707028
"28","ND",0.0217201709747314,0.326334953308105,0.304614782333374,1544,15.024511256737
"29","NE",0.0250000953674316,0.338022947311401,0.31302285194397,4449,13.5208663144443
"30","NH",0.0194690227508545,1.01091599464417,0.991446971893311,615,51.9243316719529
"31","NJ",0.0243339538574219,0.325289964675903,0.300956010818481,4628,13.3677398495062
"32","NV",0.0219719409942627,0.296533107757568,0.274561166763306,1848,13.4959905378864
"33","NY",0.0336711406707764,1.02000713348389,0.98633599281311,9685,30.2932158864806
"34","OH",0.0409400463104248,0.33738899230957,0.296448945999146,20402,8.2410505779926
"35","OR",0.023068904876709,1.10117506980896,1.07810616493225,4108,47.7341718514231
"36","PA",0.03261399269104,0.731887817382812,0.699273824691772,18271,22.4409143742735
"37","PR",0.0182318687438965,0.805283784866333,0.787051916122437,193,44.1690205309272
"38","RI",0.0940718650817871,0.349703073501587,0.2556312084198,578,3.71740342553591
"39","SC",0.0254499912261963,0.454843997955322,0.429394006729126,3761,17.8720689493653
"40","SD",0.0194230079650879,0.904003143310547,0.884580135345459,1565,46.5429013330715
"41","TN",0.0215799808502197,0.331055164337158,0.309475183486938,4075,15.3408460663109
"42","UT",0.0220701694488525,0.283179998397827,0.261109828948975,2591,12.8308937117177
"43","VA",0.033350944519043,0.806962013244629,0.773611068725586,8306,24.1960767493066
"44","VT",0.0181510448455811,0.84379506111145,0.825644016265869,694,46.4874098593214
"45","WA",0.0288031101226807,0.331084012985229,0.302280902862549,9666,11.4947313527966
"46","WI",0.109293937683105,1.06896209716797,0.959668159484863,7870,9.78061656326623
"47","WV",0.0215449333190918,0.801110982894897,0.779566049575806,3502,37.1832658300688
"48","WY",0.0210959911346436,0.309792995452881,0.288697004318237,1077,14.6849225274912
