"","state","time_partitioned","time_non_partitioned","time_difference","n","magnitude_time_difference"
"1","AK",0.0185060501098633,0.958878993988037,0.940372943878174,614,51.8143519711415
"2","AL",0.021014928817749,0.763659954071045,0.742645025253296,2865,36.3389265171369
"3","AZ",0.0197620391845703,0.315901041030884,0.296139001846313,2287,15.985245150082
"4","CA",0.0484569072723389,0.416153192520142,0.367696285247803,44826,8.58810881555576
"5","CO",0.0280640125274658,0.559544086456299,0.531480073928833,5474,19.9381355716215
"6","CT",0.0217030048370361,0.933772087097168,0.912069082260132,4862,43.0250140065254
"7","DC",0.0203590393066406,0.862452983856201,0.842093944549561,684,42.3621650740116
"8","DE",0.0193989276885986,0.795125961303711,0.775727033615112,1556,40.9881398635777
"9","FL",0.0322070121765137,0.353845119476318,0.321638107299805,12989,10.986586322787
"10","GA",0.0223591327667236,0.761182069778442,0.738822937011719,3896,34.04345229844
"11","GU",0.0174441337585449,0.330213069915771,0.312768936157227,42,18.9297487904218
"12","HI",0.0184190273284912,0.275913000106812,0.25749397277832,1066,14.9797812439324
"13","IA",0.0250480175018311,0.691482067108154,0.666434049606323,6500,27.6062593399899
"14","ID",0.0244009494781494,0.941529035568237,0.917128086090088,2300,38.5857540671259
"15","IL",0.0424041748046875,0.462372064590454,0.419967889785767,20817,10.9039278967254
"16","IN",0.0312819480895996,0.67574405670166,0.644462108612061,13376,21.6017255308446
"17","KS",0.0314459800720215,0.499673128128052,0.46822714805603,9230,15.8898888501372
"18","KY",0.0280830860137939,0.604583978652954,0.57650089263916,4470,21.528402482405
"19","MA",0.0300211906433105,0.327948093414307,0.297926902770996,7433,10.9238869740625
"20","MD",0.0250730514526367,0.92520809173584,0.900135040283203,8586,36.9004982693697
"21","ME",0.018543004989624,0.315804958343506,0.297261953353882,1172,17.0309482481517
"22","MI",0.0357658863067627,0.863632917404175,0.827867031097412,15363,24.1468339410584
"23","MN",0.102419137954712,0.323786020278931,0.221366882324219,7620,3.16138201067562
"24","MO",0.0358939170837402,0.441931009292603,0.406037092208862,11318,12.3121421454666
"25","MS",0.0232679843902588,0.58264684677124,0.559378862380981,2409,25.0407098869796
"26","MT",0.0273768901824951,0.411505937576294,0.384129047393799,1963,15.0311425013281
"27","NC",0.0276260375976562,0.991062879562378,0.963436841964722,7373,35.8742319110743
"28","ND",0.0220270156860352,0.308594942092896,0.28656792640686,1544,14.0098389401221
"29","NE",0.0236451625823975,0.314346075057983,0.290700912475586,4449,13.2943080413411
"30","NH",0.017920970916748,0.283967018127441,0.266046047210693,615,15.8455152595588
"31","NJ",0.0231010913848877,1.00146007537842,0.97835898399353,4628,43.3512018412063
"32","NV",0.0202498435974121,0.854420900344849,0.834171056747437,1848,42.1939505969341
"33","NY",0.031451940536499,0.353483915328979,0.32203197479248,9685,11.2388586935923
"34","OH",0.0353591442108154,0.96131706237793,0.925957918167114,20402,27.1872264963892
"35","OR",0.0223579406738281,0.856523990631104,0.834166049957275,4108,38.3096101347893
"36","PA",0.0312831401824951,0.379634857177734,0.348351716995239,18271,12.1354459610856
"37","PR",0.0175430774688721,0.300855159759521,0.283312082290649,193,17.1495087046928
"38","RI",0.0170218944549561,0.904790878295898,0.887768983840942,578,53.1545346312767
"39","SC",0.0204529762268066,0.334357976913452,0.313905000686646,3761,16.3476441377381
"40","SD",0.02779221534729,0.447882890701294,0.420090675354004,1565,16.1154080415891
"41","TN",0.0273120403289795,0.421335935592651,0.394023895263672,4075,15.4267469774344
"42","UT",0.0223298072814941,0.525487899780273,0.503158092498779,2591,23.5330244079523
"43","VA",0.029944896697998,0.779459953308105,0.749515056610107,8306,26.0298093918693
"44","VT",0.0179908275604248,0.337051868438721,0.319061040878296,694,18.7346506049643
"45","WA",0.0338809490203857,0.981768131256104,0.947887182235718,9666,28.9769962070834
"46","WI",0.0314438343048096,0.316756963729858,0.285313129425049,7870,10.0737384842856
"47","WV",0.0215909481048584,0.736528873443604,0.714937925338745,3502,34.1128546030764
"48","WY",0.090893030166626,0.316464900970459,0.225571870803833,1077,3.48172902135964
