"","state","time_partitioned","time_non_partitioned","time_difference","n","magnitude_time_difference"
"1","AK",0.0193068981170654,1.02847003936768,1.00916314125061,614,53.2695637140493
"2","AL",0.0250051021575928,0.773332118988037,0.748327016830444,2865,30.9269729879194
"3","AZ",0.0214469432830811,0.340577125549316,0.319130182266235,2287,15.8799844366628
"4","CA",0.0536158084869385,0.441082000732422,0.387466192245483,44826,8.22671546284479
"5","CO",0.0302689075469971,0.723188877105713,0.692919969558716,5474,23.8921367077042
"6","CT",0.102493047714233,0.302870988845825,0.200377941131592,4862,2.95503934754947
"7","DC",0.0231499671936035,0.966617822647095,0.943467855453491,684,41.7546087458032
"8","DE",0.0216929912567139,0.766139984130859,0.744446992874146,1556,35.3173969907789
"9","FL",0.0352330207824707,0.335961818695068,0.300728797912598,12989,9.53542475875976
"10","GA",0.0243370532989502,0.776126146316528,0.751789093017578,3896,31.8907197507764
"11","GU",0.0191230773925781,0.328797101974487,0.309674024581909,42,17.1937337921404
"12","HI",0.0183451175689697,0.279301881790161,0.260956764221191,1066,15.2248619143544
"13","IA",0.0282421112060547,0.694571971893311,0.666329860687256,6500,24.5934861889647
"14","ID",0.0908248424530029,0.879896879196167,0.789072036743164,2300,9.68784371579249
"15","IL",0.0385849475860596,0.67750096321106,0.638916015625,20817,17.5586855910577
"16","IN",0.0355541706085205,0.341188192367554,0.305634021759033,13376,9.59629170159262
"17","KS",0.0312759876251221,0.611799955368042,0.58052396774292,9230,19.5613312903545
"18","KY",0.0293970108032227,0.655378818511963,0.62598180770874,4470,22.2940632603406
"19","MA",0.0278539657592773,0.318611145019531,0.290757179260254,7433,11.43862772623
"20","MD",0.0237209796905518,0.991921186447144,0.968200206756592,8586,41.8161981244912
"21","ME",0.0180468559265137,0.344336986541748,0.326290130615234,1172,19.0801648743626
"22","MI",0.0364720821380615,0.949680089950562,0.9132080078125,15363,26.0385487824808
"23","MN",0.0317020416259766,0.909611940383911,0.877909898757935,7620,28.6925350460261
"24","MO",0.0397300720214844,0.357050180435181,0.317320108413696,11318,8.98689990398464
"25","MS",0.0214850902557373,0.295638084411621,0.274152994155884,2409,13.7601509182711
"26","MT",0.020421028137207,0.382756948471069,0.362335920333862,1963,18.743275113249
"27","NC",0.0304770469665527,0.863269090652466,0.832792043685913,7373,28.3252209966362
"28","ND",0.0270810127258301,0.331342935562134,0.304261922836304,1544,12.2352490623844
"29","NE",0.0222289562225342,1.04300808906555,1.02077913284302,4449,46.9211454925725
"30","NH",0.0197560787200928,0.328402042388916,0.308645963668823,615,16.6228352823335
"31","NJ",0.0234580039978027,1.11167693138123,1.08821892738342,4628,47.3900904563472
"32","NV",0.0246050357818604,0.357298135757446,0.332693099975586,1848,14.5213418474627
"33","NY",0.034898042678833,1.04785490036011,1.01295685768127,9685,30.0261796916098
"34","OH",0.039193868637085,0.810577869415283,0.771384000778198,20402,20.6812416738143
"35","OR",0.0243871212005615,0.34125804901123,0.316870927810669,4108,13.9933715916979
"36","PA",0.032336950302124,0.972626924514771,0.940289974212646,18271,30.0778804255664
"37","PR",0.021420955657959,0.327127933502197,0.305706977844238,193,15.2713977249961
"38","RI",0.016963005065918,0.943691968917847,0.926728963851929,578,55.6323579018384
"39","SC",0.0997860431671143,0.805246829986572,0.705460786819458,3761,8.06973404725553
"40","SD",0.0233790874481201,0.775275945663452,0.751896858215332,1565,33.1610866927054
"41","TN",0.0230019092559814,0.754783153533936,0.731781244277954,4075,32.8139349274957
"42","UT",0.0228049755096436,0.442682027816772,0.419877052307129,2591,19.4116423247013
"43","VA",0.0346131324768066,0.290006875991821,0.255393743515015,8306,8.37852153907617
"44","VT",0.0206179618835449,0.284898042678833,0.264280080795288,694,13.8179536992067
"45","WA",0.0400209426879883,1.06126689910889,1.0212459564209,9666,26.517788633385
"46","WI",0.0399258136749268,0.446372032165527,0.406446218490601,7870,11.1800359486686
"47","WV",0.096466064453125,1.0648500919342,0.968384027481079,3502,11.0385978527365
"48","WY",0.0257840156555176,0.324169158935547,0.298385143280029,1077,12.572485343887
