"","state","time_partitioned","time_non_partitioned","time_difference","n","magnitude_time_difference"
"1","AK",0.0186460018157959,0.302018880844116,0.28337287902832,614,16.1975142890023
"2","AL",0.0233919620513916,0.923718214035034,0.900326251983643,2865,39.488701803023
"3","AZ",0.0200388431549072,0.308925151824951,0.288886308670044,2287,15.4163166724173
"4","CA",0.0525808334350586,0.446016073226929,0.39343523979187,44826,8.48248390314682
"5","CO",0.212140083312988,0.476733922958374,0.264593839645386,5474,2.24725999685315
"6","CT",0.0275897979736328,0.901971101760864,0.874381303787231,4862,32.6921966816453
"7","DC",0.0191109180450439,0.311113119125366,0.292002201080322,684,16.2793392966304
"8","DE",0.0199909210205078,0.911892890930176,0.891901969909668,1556,45.6153515885889
"9","FL",0.0316500663757324,0.791544914245605,0.759894847869873,12989,25.0092655367232
"10","GA",0.0282859802246094,0.328193187713623,0.299907207489014,3896,11.6026803776129
"11","GU",0.0176889896392822,0.284672021865845,0.266983032226562,42,16.0931759060828
"12","HI",0.0189888477325439,0.277840852737427,0.258852005004883,1066,14.6317910728859
"13","IA",0.0289099216461182,0.669554948806763,0.640645027160645,6500,23.1600402450993
"14","ID",0.0210790634155273,0.945649862289429,0.924570798873901,2300,44.8620436139891
"15","IL",0.0370759963989258,0.324774026870728,0.287698030471802,20817,8.75968438922756
"16","IN",0.0330100059509277,0.763496160507202,0.730486154556274,13376,23.1292342583096
"17","KS",0.030601978302002,0.313945055007935,0.283343076705933,9230,10.2589790734999
"18","KY",0.0281739234924316,0.682338953018188,0.654165029525757,4470,24.2188118811881
"19","MA",0.025827169418335,0.805511951446533,0.779684782028198,7433,31.1885494844314
"20","MD",0.0240418910980225,0.588538885116577,0.564496994018555,8586,24.4797251063577
"21","ME",0.0195050239562988,0.326054096221924,0.306549072265625,1172,16.7164160860531
"22","MI",0.116121053695679,0.90691089630127,0.790789842605591,15363,7.81004707964529
"23","MN",0.0294618606567383,0.810189008712769,0.78072714805603,7620,27.4995872851455
"24","MO",0.0409939289093018,0.373362064361572,0.332368135452271,11318,9.10774044585061
"25","MS",0.0241761207580566,0.931385040283203,0.907208919525146,2409,38.5249995069131
"26","MT",0.0213348865509033,0.332439184188843,0.311104297637939,1963,15.5819522825054
"27","NC",0.0333800315856934,0.659121036529541,0.625741004943848,7373,19.7459680299416
"28","ND",0.0212640762329102,0.310275077819824,0.289011001586914,1544,14.5915145535274
"29","NE",0.0263490676879883,0.273366928100586,0.247017860412598,4449,10.3748235549604
"30","NH",0.0247390270233154,0.275570869445801,0.250831842422485,615,11.139115098831
"31","NJ",0.0276110172271729,0.991224050521851,0.963613033294678,4628,35.8995846609504
"32","NV",0.0228760242462158,0.341109037399292,0.318233013153076,1848,14.9112028265016
"33","NY",0.0344381332397461,1.02110695838928,0.986668825149536,9685,29.6504735399186
"34","OH",0.0407509803771973,0.341001033782959,0.300250053405762,20402,8.36792221013094
"35","OR",0.0206308364868164,0.989863872528076,0.96923303604126,4108,47.9798224934128
"36","PA",0.0304548740386963,0.326514005661011,0.296059131622314,18271,10.7212397347675
"37","PR",0.0201220512390137,0.262363910675049,0.242241859436035,193,13.0386265077372
"38","RI",0.0177030563354492,0.268096923828125,0.250393867492676,578,15.1441038625222
"39","SC",0.0234169960021973,0.345862150192261,0.322445154190063,3761,14.7697061638396
"40","SD",0.0222299098968506,0.373478174209595,0.351248264312744,1565,16.8007057132745
"41","TN",0.0210540294647217,0.857813119888306,0.836759090423584,4075,40.7434178490946
"42","UT",0.0218610763549805,0.332017183303833,0.310156106948853,2591,15.1875954281726
"43","VA",0.0325000286102295,0.858046054840088,0.825546026229858,8306,26.4013938304662
"44","VT",0.0184109210968018,0.330334901809692,0.311923980712891,694,17.9423343391046
"45","WA",0.0331580638885498,0.964359045028687,0.931200981140137,9666,29.0836958475643
"46","WI",0.0326910018920898,0.334310054779053,0.301619052886963,7870,10.2263630794364
"47","WV",0.094092845916748,0.743493795394897,0.649400949478149,3502,7.90170377089805
"48","WY",0.0198040008544922,0.276730060577393,0.2569260597229,1077,13.9734421650775
