"","state","time_partitioned","time_non_partitioned","time_difference","n","magnitude_time_difference"
"1","AK",0.0210778713226318,1.02699494361877,1.00591707229614,614,48.7238453968577
"2","AL",0.0267479419708252,0.335326910018921,0.308578968048096,2865,12.5365499291374
"3","AZ",0.0245761871337891,0.471695184707642,0.447118997573853,2287,19.1931800543267
"4","CA",0.0505199432373047,0.477298021316528,0.426778078079224,44826,9.44771491675161
"5","CO",0.0351150035858154,0.533044099807739,0.497929096221924,5474,15.17995287983
"6","CT",0.0246810913085938,0.47011399269104,0.445432901382446,4862,19.0475367078825
"7","DC",0.0906729698181152,0.963011026382446,0.872338056564331,684,10.6207067918277
"8","DE",0.0210790634155273,0.317753076553345,0.296674013137817,1556,15.0743451115233
"9","FL",0.0325820446014404,0.782735109329224,0.750153064727783,12989,24.0235110750115
"10","GA",0.0282981395721436,0.347008943557739,0.318710803985596,3896,12.2626062633224
"11","GU",0.0165870189666748,0.301900863647461,0.285313844680786,42,18.2010320392117
"12","HI",0.0216870307922363,0.872467041015625,0.850780010223389,1066,40.229898199248
"13","IA",0.0296511650085449,0.325098991394043,0.295447826385498,6500,10.9641220269205
"14","ID",0.0216059684753418,1.01061296463013,0.989006996154785,2300,46.7747125422083
"15","IL",0.241115093231201,0.359539985656738,0.118424892425537,20817,1.49115503653677
"16","IN",0.0382101535797119,0.988789081573486,0.950578927993774,13376,25.8776526378186
"17","KS",0.0339949131011963,0.327407121658325,0.293412208557129,9230,9.6310621734404
"18","KY",0.0273690223693848,0.689396142959595,0.66202712059021,4470,25.1889210237469
"19","MA",0.02829909324646,0.795595169067383,0.767296075820923,7433,28.1138042883019
"20","MD",0.0288431644439697,0.339223146438599,0.310379981994629,8586,11.7609545616109
"21","ME",0.0218949317932129,1.01727199554443,0.995377063751221,1172,46.4615284099571
"22","MI",0.0372099876403809,0.348899126052856,0.311689138412476,15363,9.37649131799833
"23","MN",0.0302469730377197,0.755920886993408,0.725673913955688,7620,24.9916210144642
"24","MO",0.0399789810180664,0.933153867721558,0.893174886703491,11318,23.3411118532478
"25","MS",0.0247209072113037,0.569525003433228,0.544804096221924,2409,23.0381918659041
"26","MT",0.0199029445648193,0.303579092025757,0.283676147460938,1963,15.2529738017945
"27","NC",0.0286459922790527,0.599667072296143,0.57102108001709,7373,20.9337161880982
"28","ND",0.0208849906921387,0.29417085647583,0.273285865783691,1544,14.0852759195415
"29","NE",0.0211060047149658,0.341368913650513,0.320262908935547,4449,16.1740186388026
"30","NH",0.0194869041442871,0.866549015045166,0.847062110900879,615,44.4682751364181
"31","NJ",0.0266740322113037,0.764549970626831,0.737875938415527,4628,28.6627070317039
"32","NV",0.0308940410614014,0.413665056228638,0.382771015167236,1848,13.3898008164903
"33","NY",0.0343248844146729,0.96471905708313,0.930394172668457,9685,28.1055296626357
"34","OH",0.0376238822937012,0.335170984268188,0.297547101974487,20402,8.90846355651876
"35","OR",0.027940034866333,1.02336406707764,0.995424032211304,4108,36.6271578390463
"36","PA",0.0313808917999268,0.322542190551758,0.291161298751831,18271,10.2782990556218
"37","PR",0.01792311668396,0.27985692024231,0.26193380355835,193,15.6142999667443
"38","RI",0.0177738666534424,0.271201133728027,0.253427267074585,578,15.2584206360917
"39","SC",0.0229101181030273,0.608386039733887,0.585475921630859,3761,26.5553427964867
"40","SD",0.0901048183441162,0.32783317565918,0.237728357315063,1565,3.63835343862704
"41","TN",0.0216469764709473,0.952634811401367,0.93098783493042,4075,44.0077538163315
"42","UT",0.0244479179382324,0.331300020217896,0.306852102279663,2591,13.5512570458934
"43","VA",0.0344648361206055,0.892025947570801,0.857561111450195,8306,25.8822048202773
"44","VT",0.0221850872039795,0.324054956436157,0.301869869232178,694,14.6068822473697
"45","WA",0.0337560176849365,0.931601047515869,0.897845029830933,9666,27.5980732150046
"46","WI",0.0334980487823486,0.451125144958496,0.417627096176147,7870,13.4672066390987
"47","WV",0.0215079784393311,0.651031970977783,0.629523992538452,3502,30.2693241400716
"48","WY",0.0197839736938477,0.3224937915802,0.302709817886353,1077,16.3007592190889
