"","state","time_partitioned","time_non_partitioned","time_difference","n","magnitude_time_difference"
"1","AK",0.0184359550476074,0.298080921173096,0.279644966125488,614,16.1684556294131
"2","AL",0.0207781791687012,0.899342060089111,0.87856388092041,2865,43.2830063109581
"3","AZ",0.0280871391296387,0.391475915908813,0.363388776779175,2287,13.9379063884692
"4","CA",0.0503039360046387,0.305704832077026,0.255400896072388,44826,6.07715531541779
"5","CO",0.0318729877471924,0.493046045303345,0.461173057556152,5474,15.4690877809777
"6","CT",0.0241110324859619,0.97291898727417,0.948807954788208,4862,40.3516103194929
"7","DC",0.0190670490264893,0.680523872375488,0.661456823348999,684,35.6910957448139
"8","DE",0.0215048789978027,0.329424858093262,0.307919979095459,1556,15.3186101687399
"9","FL",0.0347020626068115,0.907933950424194,0.873231887817383,12989,26.1636883291767
"10","GA",0.026716947555542,0.323633909225464,0.296916961669922,3896,12.113431317431
"11","GU",0.0924508571624756,1.07279896736145,0.980348110198975,42,11.6039915722586
"12","HI",0.0198290348052979,0.293359041213989,0.273530006408691,1066,14.7944185934663
"13","IA",0.0333008766174316,0.343410015106201,0.31010913848877,6500,10.3123415954294
"14","ID",0.0221810340881348,1.01772093772888,0.995539903640747,2300,45.8824838231184
"15","IL",0.0400209426879883,0.317806005477905,0.277785062789917,20817,7.94099249374479
"16","IN",0.0304338932037354,0.735913038253784,0.705479145050049,13376,24.1807064685191
"17","KS",0.0318200588226318,0.862350940704346,0.830530881881714,9230,27.1008594142197
"18","KY",0.0318598747253418,0.332113981246948,0.300254106521606,4470,10.4242086357854
"19","MA",0.108392000198364,1.01097989082336,0.902587890625,7433,9.3270710843347
"20","MD",0.0270750522613525,0.422059059143066,0.394984006881714,8586,15.5884854835727
"21","ME",0.02022385597229,0.760449886322021,0.740226030349731,1172,37.6016268788683
"22","MI",0.0382950305938721,0.777523040771484,0.739228010177612,15363,20.3034970520667
"23","MN",0.0336229801177979,0.320251941680908,0.28662896156311,7620,9.52479347633398
"24","MO",0.0362429618835449,0.492096900939941,0.455853939056396,11318,13.5777231044509
"25","MS",0.0197827816009521,0.547954082489014,0.528171300888062,2409,27.6985357035252
"26","MT",0.0200541019439697,0.308254957199097,0.288200855255127,1963,15.3711673581967
"27","NC",0.0345308780670166,0.6424400806427,0.607909202575684,7373,18.6048000110472
"28","ND",0.0234720706939697,0.367161989212036,0.343689918518066,1544,15.6425052565288
"29","NE",0.0255191326141357,0.518560171127319,0.493041038513184,4449,20.3204465828934
"30","NH",0.019230842590332,0.294858932495117,0.275628089904785,615,15.3326060004959
"31","NJ",0.0254180431365967,1.03623390197754,1.01081585884094,4628,40.7676506176661
"32","NV",0.0273430347442627,0.379302024841309,0.351958990097046,1848,13.8719797706762
"33","NY",0.0320940017700195,1.03581285476685,1.00371885299683,9685,32.2743440406502
"34","OH",0.0385448932647705,0.485664844512939,0.447119951248169,20402,12.5999789693757
"35","OR",0.0307168960571289,0.320076942443848,0.289360046386719,4108,10.4202241609488
"36","PA",0.0340230464935303,1.07760500907898,1.04358196258545,18271,31.6727959468266
"37","PR",0.0205540657043457,0.347109079360962,0.326555013656616,193,16.8876116459807
"38","RI",0.0173768997192383,0.951947927474976,0.934571027755737,578,54.7823802206246
"39","SC",0.0206348896026611,0.338801145553589,0.318166255950928,3761,16.4188494378907
"40","SD",0.0202212333679199,0.344520092010498,0.324298858642578,1565,17.0375409720093
"41","TN",0.0212740898132324,0.431567192077637,0.410293102264404,4075,20.2860472935111
"42","UT",0.0218169689178467,0.3004150390625,0.278598070144653,2591,13.7697881036423
"43","VA",0.0351269245147705,0.926368951797485,0.891242027282715,8306,26.3720483530506
"44","VT",0.0212340354919434,0.883505821228027,0.862271785736084,694,41.6080034133525
"45","WA",0.0313179492950439,0.867470026016235,0.836152076721191,9666,27.698813158035
"46","WI",0.0345821380615234,0.336735963821411,0.302153825759888,7870,9.73728007280349
"47","WV",0.0270650386810303,0.68316388130188,0.65609884262085,3502,25.2415630863556
"48","WY",0.0189521312713623,0.338749885559082,0.31979775428772,1077,17.8739731541936
