"","state","time_partitioned","time_non_partitioned","time_difference","n","magnitude_time_difference"
"1","AK",0.0183951854705811,0.937283992767334,0.918888807296753,614,50.9526796707926
"2","AL",0.0285100936889648,0.34511399269104,0.316603899002075,2865,12.1049757484529
"3","AZ",0.024878978729248,0.401562929153442,0.376683950424194,2287,16.1406516530906
"4","CA",0.0503859519958496,0.394153833389282,0.343767881393433,44826,7.82269298835019
"5","CO",0.0313920974731445,0.293182134628296,0.261790037155151,5474,9.33936112039372
"6","CT",0.025886058807373,0.985360145568848,0.959474086761475,4862,38.065282664358
"7","DC",0.0938029289245605,0.342957973480225,0.249155044555664,684,3.65615420981197
"8","DE",0.0187380313873291,0.934037923812866,0.915299892425537,1556,49.8471746847684
"9","FL",0.0335559844970703,0.794352769851685,0.760796785354614,12989,23.6724620587734
"10","GA",0.0242710113525391,0.333274126052856,0.309003114700317,3896,13.7313654223969
"11","GU",0.0197429656982422,0.308283090591431,0.288540124893188,42,15.6148319002995
"12","HI",0.0226678848266602,0.275521039962769,0.252853155136108,1066,12.1546867768943
"13","IA",0.026824951171875,0.651136875152588,0.624311923980713,6500,24.2735530432309
"14","ID",0.0284769535064697,0.933073997497559,0.904597043991089,2300,32.7659346455572
"15","IL",0.108623027801514,0.814585208892822,0.705962181091309,20817,7.49919446529616
"16","IN",0.0353741645812988,0.767560958862305,0.732186794281006,13376,21.6983487227876
"17","KS",0.0322558879852295,0.511181116104126,0.478925228118896,9230,15.8476838814112
"18","KY",0.0274989604949951,0.664302110671997,0.636803150177002,4470,24.157353540433
"19","MA",0.0273199081420898,0.314871072769165,0.287551164627075,7433,11.5253342409327
"20","MD",0.0265719890594482,1.03001189231873,1.00343990325928,8586,38.7630707665252
"21","ME",0.0185489654541016,0.320492029190063,0.301943063735962,1172,17.2781619537275
"22","MI",0.0372638702392578,0.907476902008057,0.870213031768799,15363,24.3527281568306
"23","MN",0.0280909538269043,0.620864868164062,0.592773914337158,7620,22.1019503997556
"24","MO",0.0400350093841553,0.509838104248047,0.469803094863892,11318,12.7348066627362
"25","MS",0.0205581188201904,0.322185039520264,0.301626920700073,2409,15.6719125100027
"26","MT",0.0226550102233887,0.281634092330933,0.258979082107544,1963,12.4314264065164
"27","NC",0.0314669609069824,0.602615118026733,0.571148157119751,7373,19.1507250988771
"28","ND",0.0215330123901367,0.30927300453186,0.287739992141724,1544,14.3627374994464
"29","NE",0.0265288352966309,0.914335966110229,0.887807130813599,4449,34.4657409903838
"30","NH",0.0190010070800781,0.314327955245972,0.295326948165894,615,16.5426997590845
"31","NJ",0.0245819091796875,0.998121023178101,0.973539113998413,4628,40.6038853972688
"32","NV",0.0876979827880859,0.588479042053223,0.500781059265137,1848,6.71029165488593
"33","NY",0.0327398777008057,0.289162874221802,0.256422996520996,9685,8.83213055541396
"34","OH",0.0352771282196045,0.565442085266113,0.530164957046509,20402,16.0285747112454
"35","OR",0.0217928886413574,0.310093879699707,0.28830099105835,4108,14.2291315668556
"36","PA",0.0319647789001465,0.89021897315979,0.858254194259644,18271,27.8499962706049
"37","PR",0.0182480812072754,0.324732065200806,0.30648398399353,193,17.7954088165356
"38","RI",0.0199060440063477,0.278439998626709,0.258533954620361,578,13.9877113974992
"39","SC",0.0213899612426758,0.519909858703613,0.498519897460938,3761,24.3062552944848
"40","SD",0.0896210670471191,0.455794095993042,0.366173028945923,1565,5.08579189035323
"41","TN",0.0223219394683838,0.279566049575806,0.257244110107422,4075,12.5242723631509
"42","UT",0.0224630832672119,0.319014072418213,0.296550989151001,2591,14.2017045756074
"43","VA",0.0318260192871094,0.751927137374878,0.720101118087769,8306,23.6261761356826
"44","VT",0.0224049091339111,0.322650909423828,0.300246000289917,694,14.4009023868558
"45","WA",0.0322980880737305,0.979864120483398,0.947566032409668,9666,30.3381462780878
"46","WI",0.033534049987793,0.448945045471191,0.415410995483398,7870,13.3877371100304
"47","WV",0.0212869644165039,0.726424932479858,0.705137968063354,3502,34.1253416065588
"48","WY",0.0208160877227783,0.315608024597168,0.29479193687439,1077,15.1617359035151
